,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
241,1624406400,300.21,267.04,262.12,429789.71,127319750.75,296.24,multiply,BTC
242,1624492800,318.88,300.9,296.24,321578.12,99169410.61,308.38,multiply,BTC
243,1624579200,314.62,275.37,308.42,184893.52,54041535.71,280.94,direct,
244,1624665600,290.1,264.4,280.94,115759.08,31837863.37,279.57,direct,
245,1624752000,310.13,285.42,280.1,234640.85,68330736.18,291.21,multiply,BTC
246,1624838400,296.83,285.45,291.21,261129.75,75728177.96,290.0,multiply,BTC
247,1624924800,311.59,299.45,290.0,278756.18,83844844.95,300.78,multiply,BTC
248,1625011200,304.88,281.58,301.03,135198.81,39808846.79,303.57,direct,
249,1625097600,303.92,280.9,303.57,90441.22,26204683.39,287.62,direct,
250,1625184000,290.62,276.51,287.62,91480.72,25820492.75,287.22,direct,
251,1625270400,303.12,282.97,287.22,85847.11,25313982.77,298.26,direct,
252,1625356800,314.86,292.85,298.26,93657.44,28679085.05,307.82,direct,
253,1625443200,307.82,292.52,307.82,117249.09,35263682.01,302.15,direct,
254,1625529600,322.58,302.0,302.15,175308.4,55192050.7,320.29,direct,
255,1625616000,339.76,318.55,320.29,160024.95,53005020.07,328.01,direct,
256,1625702400,328.22,304.77,328.01,132934.03,42090343.18,310.27,direct,
257,1625788800,319.68,301.83,310.27,94123.61,29204840.77,316.75,direct,
258,1625875200,321.5,310.81,316.75,83525.04,26313160.32,316.12,direct,
259,1625961600,326.74,312.38,316.12,81454.61,26126782.53,322.22,direct,
260,1626048000,334.28,308.75,322.22,111666.43,35935636.86,316.1,direct,
261,1626134400,318.22,305.29,316.1,86227.95,26820296.79,308.94,direct,
262,1626220800,313.41,290.52,308.94,108755.8,32975062.92,309.41,direct,
263,1626307200,324.21,301.65,309.41,182854.14,57062736.32,315.71,direct,
264,1626393600,323.37,301.78,315.71,167281.41,51963481.19,303.04,direct,
265,1626480000,306.89,295.14,303.04,124568.43,37458638.03,300.59,direct,
266,1626566400,309.22,299.27,300.59,92873.29,28268680.96,302.11,direct,
267,1626652800,303.73,278.9,302.11,116149.51,33528636.55,280.36,direct,
268,1626739200,283.35,254.56,280.36,149301.99,39644682.45,264.55,direct,
269,1626825600,298.84,261.01,264.55,243274.34,69375712.56,292.97,direct,
270,1626912000,298.67,287.58,292.97,177654.18,52138200.92,293.58,direct,
271,1626998400,301.35,281.53,293.58,179921.8,52591954.16,299.24,direct,
272,1627084800,308.01,295.82,299.24,164987.35,49771612.93,301.75,direct,
273,1627171200,304.32,292.8,301.75,127127.16,38029410.85,302.88,direct,
274,1627257600,328.4,301.28,302.88,219306.07,69424257.3,303.93,direct,
275,1627344000,318.48,298.06,303.93,121004.67,37292749.76,313.73,direct,
276,1627430400,320.08,310.63,313.96,206519.26,64837830.36,313.96,multiply,BTC
277,1627516800,320.17,308.66,313.82,97171.08,30488086.01,317.13,direct,
278,1627603200,325.78,306.44,317.13,123150.22,38858554.33,322.88,direct,
279,1627689600,338.65,317.65,322.88,158530.8,52150509.7,332.58,direct,
280,1627776000,348.08,329.18,332.58,183595.24,62345305.95,332.79,direct,
281,1627862400,338.14,326.37,332.79,102395.06,33984294.96,330.72,direct,
282,1627948800,334.73,317.21,330.72,111987.89,36223545.64,323.31,direct,
283,1628035200,337.21,319.8,323.31,71103.38,23314499.56,334.84,direct,
284,1628121600,355.03,336.02,334.88,214931.61,72686890.86,338.19,multiply,BTC
285,1628208000,359.79,340.97,338.19,223427.69,76508739.44,342.43,multiply,BTC
286,1628294400,359.76,340.19,342.41,116260.3,40814312.0,356.51,direct,
287,1628380800,360.06,337.21,356.51,80545.63,28159037.62,342.04,direct,
288,1628467200,358.03,333.42,342.04,124173.06,43441302.33,354.68,direct,
289,1628553600,376.56,349.17,354.68,156216.47,56810350.67,372.1,direct,
290,1628640000,408.64,371.36,372.1,199636.95,77943134.54,391.21,direct,
291,1628726400,406.43,372.14,391.21,156281.53,60661820.43,385.91,direct,
292,1628812800,411.62,383.13,385.91,121545.32,48460464.83,411.25,direct,
293,1628899200,419.14,400.53,411.25,116740.47,47676069.08,409.07,direct,
294,1628985600,415.19,396.64,409.07,103980.7,42056902.03,414.39,direct,
295,1629072000,437.18,411.16,414.39,166539.78,70543051.06,415.94,direct,
296,1629158400,435.78,398.55,415.94,187835.18,79126812.82,401.71,direct,
297,1629244800,412.26,385.44,401.71,120358.61,47985004.02,396.03,direct,
298,1629331200,431.63,391.01,396.03,198845.97,81570679.86,431.09,direct,
299,1629417600,458.09,421.83,431.09,151609.35,66876275.06,455.18,direct,
300,1629504000,460.41,445.13,455.18,125177.72,56709821.37,449.12,direct,
301,1629590400,458.5,438.1,449.12,107003.32,47954814.38,448.92,direct,
302,1629676800,509.89,446.69,448.92,295521.86,144003091.21,499.5,direct,
303,1629763200,504.39,462.62,499.5,202632.1,97951150.27,471.99,direct,
304,1629849600,507.25,469.93,471.99,253519.41,124081445.03,503.4,direct,
305,1629936000,518.98,471.39,503.4,321995.25,157560343.01,478.21,direct,
306,1630022400,495.13,467.32,478.21,194258.31,93782079.62,494.66,direct,
307,1630108800,496.84,482.82,494.66,67458.84,32908694.69,486.33,direct,
308,1630195200,495.96,476.16,486.33,94690.37,45924369.02,479.97,direct,
309,1630281600,480.91,457.43,479.97,119161.66,56383664.51,460.05,direct,
310,1630368000,470.93,456.03,459.97,268264.33,124588498.48,464.42,multiply,BTC
311,1630454400,495.73,476.53,464.42,258913.84,126832905.98,489.87,multiply,BTC
312,1630540800,506.61,478.02,489.87,281005.72,135919869.58,483.69,multiply,BTC
313,1630627200,498.39,483.79,483.69,235885.18,115263074.28,488.64,multiply,BTC
314,1630713600,506.84,484.97,488.64,285942.81,142315176.38,497.71,multiply,BTC
315,1630800000,536.48,489.1,497.71,243425.84,122854203.39,504.69,multiply,BTC
316,1630886400,517.08,495.21,504.69,249976.79,124068075.72,496.32,multiply,BTC
317,1630972800,504.99,356.55,496.23,351567.59,153999187.79,418.26,direct,
318,1631059200,425.38,382.92,418.26,195692.48,80242571.95,414.95,direct,
319,1631145600,436.19,403.77,414.95,187049.96,78137474.02,421.29,direct,
320,1631232000,439.39,393.8,421.29,207058.27,85154445.7,401.39,direct,
321,1631318400,415.11,399.67,401.39,126299.87,51490028.75,404.98,direct,
322,1631404800,421.67,397.8,404.98,112049.68,46254918.87,416.93,direct,
323,1631491200,419.65,385.24,416.93,194507.96,77555050.99,399.03,direct,
324,1631577600,414.73,396.04,399.03,136942.38,55300834.78,414.71,direct,
325,1631664000,437.28,419.81,414.64,237854.54,102578496.76,431.27,multiply,BTC
326,1631750400,433.12,415.79,431.2,109510.93,46644252.32,424.3,direct,
327,1631836800,425.95,400.74,424.3,117470.76,48491873.17,406.51,direct,
328,1631923200,419.72,401.59,406.51,94675.75,39066320.8,410.63,direct,
329,1632009600,419.03,402.99,410.63,80362.38,33054384.42,408.56,direct,
330,1632096000,409.78,353.99,408.56,291748.1,109659884.46,363.86,direct,
331,1632182400,375.68,336.86,363.86,353167.35,127627453.95,344.24,direct,
332,1632268800,379.98,342.46,344.24,238231.6,86578994.37,379.09,direct,
333,1632355200,384.82,369.33,379.09,199486.27,75343302.05,383.86,direct,
334,1632441600,385.35,334.15,383.86,257985.69,92242459.42,355.23,direct,
335,1632528000,360.87,343.97,355.23,268399.82,94525935.75,349.82,direct,
336,1632614400,352.72,319.95,349.82,261903.69,89212529.32,344.16,direct,
337,1632700800,357.54,335.5,344.16,173494.03,60119181.73,335.81,direct,
338,1632787200,344.5,330.03,335.81,167702.3,56534275.36,333.28,direct,
339,1632873600,375.23,331.48,333.28,260412.99,93637231.02,367.46,direct,
340,1632960000,388.61,366.28,367.46,174270.37,66052714.25,387.47,direct,
341,1633046400,423.54,381.42,387.47,183317.35,74413885.79,421.58,direct,
342,1633132800,438.4,411.0,421.58,125178.03,53420846.13,427.4,direct,
343,1633219200,437.14,422.0,427.4,117511.74,50512892.47,430.64,direct,
344,1633305600,430.87,411.49,430.64,161918.97,68201755.17,426.55,direct,
345,1633392000,444.29,424.37,426.55,115522.82,50282601.35,442.51,direct,
346,1633478400,442.82,415.16,442.51,230069.18,99641334.16,435.1,direct,
347,1633564800,450.28,423.84,435.1,240118.0,105377677.07,438.39,direct,
348,1633651200,441.79,416.34,438.39,175717.23,75088523.46,419.47,direct,
349,1633737600,426.04,416.37,419.47,124345.58,52515598.78,422.0,direct,
350,1633824000,422.29,402.7,422.0,131135.99,54488757.1,404.39,direct,
351,1633910400,423.97,400.48,404.39,156400.81,64733373.97,413.42,direct,
352,1633996800,444.7,392.46,413.42,448305.16,189779044.12,444.57,direct,
353,1634083200,471.86,433.3,444.57,840002.83,382579710.61,470.45,direct,
354,1634169600,482.7,461.21,470.45,287066.96,135438018.68,472.73,direct,
355,1634256000,477.58,452.3,472.73,448703.69,209102177.41,474.16,direct,
356,1634342400,484.5,460.18,474.16,183211.41,86430408.37,465.85,direct,
357,1634428800,472.47,454.77,465.85,191369.03,89070765.94,471.0,direct,
358,1634515200,487.31,466.46,471.0,198046.37,94168225.96,484.97,direct,
359,1634601600,497.71,480.94,484.97,219051.01,106951278.89,488.03,direct,
360,1634688000,505.86,480.01,488.03,147082.49,72654385.75,501.47,direct,
361,1634774400,504.96,393.13,501.47,249685.76,120772545.04,471.13,direct,
362,1634860800,498.13,471.08,471.13,172713.75,83594469.37,479.09,direct,
363,1634947200,485.55,472.65,479.09,79384.04,38141925.63,485.55,direct,
364,1635033600,486.34,468.03,485.55,90579.92,43184279.01,475.88,direct,
365,1635120000,488.52,474.86,475.88,88149.16,42599941.3,485.0,direct,
366,1635206400,489.54,473.83,485.0,107426.9,51974059.18,478.09,direct,
367,1635292800,486.39,439.11,478.09,217212.93,99847332.95,448.6,direct,
368,1635379200,494.96,446.83,448.6,265557.6,126300509.12,492.44,direct,
369,1635465600,533.85,488.26,492.44,254724.39,129796389.39,530.21,direct,
370,1635552000,540.61,510.92,530.21,189470.98,99542796.56,528.72,direct,
371,1635638400,535.37,509.44,528.72,174485.66,91052285.85,524.94,direct,
372,1635724800,552.3,511.75,524.94,251132.21,133728554.97,551.71,direct,
373,1635811200,564.47,538.02,551.71,157817.3,87057211.52,554.94,direct,
374,1635897600,570.51,535.38,554.94,202333.88,111637227.12,568.77,direct,
375,1635984000,569.16,544.39,568.77,125819.68,69881431.1,559.5,direct,
376,1636070400,615.93,555.01,559.5,248600.14,148524718.93,607.77,direct,
377,1636156800,637.61,595.8,607.77,219527.17,134947349.47,637.58,direct,
378,1636243200,669.67,631.19,637.58,196042.3,128592411.65,649.78,direct,
379,1636329600,693.73,645.5,650.12,413352.36,270253131.89,653.81,multiply,BTC
380,1636416000,656.98,632.25,654.05,150882.55,97124325.53,635.14,direct,
